"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","24건","","","77,379","-","-","-"
"1","활돔(참돔)","에히메현","2015-07-07","5,891","불검출","불검출","적합"
"2","활돔(참돔)","에히메현","2015-07-07","11,891","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-07-07","7,000","불검출","불검출","적합"
"4","냉동남방참다랑어","인도양","2015-07-07","1,847","불검출","불검출","적합"
"5","냉장갈치","와카야마현","2015-07-07","1,304","불검출","불검출","적합"
"6","냉장명태","홋카이도","2015-07-07","1,220","불검출","불검출","적합"
"7","냉장명태","홋카이도","2015-07-07","5,130","불검출","불검출","적합"
"8","냉장홍어","홋카이도","2015-07-07","3,463","불검출","불검출","적합"
"9","냉장갈치","오이타현","2015-07-07","685","불검출","불검출","적합"
"10","냉장갈치","히로시마현","2015-07-07","105","불검출","불검출","적합"
"11","냉동상어(청상아리)","대서양","2015-07-07","11,478","불검출","불검출","적합"
"12","냉동상어(청상아리,F)","대서양","2015-07-07","2,258","불검출","불검출","적합"
"13","냉동개복치(F)","대서양","2015-07-07","8,308","불검출","불검출","적합"
"14","냉동눈다랑어(목살)","시즈오카현","2015-07-07","196","불검출","불검출","적합"
"15","냉동눈다랑어(F,횟감)","시즈오카현","2015-07-07","198","불검출","불검출","적합"
"16","냉장갈치","와카야마현","2015-07-07","1,176","불검출","불검출","적합"
"17","냉장갈치","와카야마현","2015-07-07","2,102","불검출","불검출","적합"
"18","냉장준치","와카야마현","2015-07-07","960","불검출","불검출","적합"
"19","냉장돔(황돔)","나가사키현","2015-07-07","36","불검출","불검출","적합"
"20","냉장갈치","와카야마현","2015-07-07","760","불검출","불검출","적합"
"21","활가리비","홋카이도","2015-07-07","7,089","불검출","불검출","적합"
"22","냉장홍어","홋카이도","2015-07-07","1,320","불검출","불검출","적합"
"23","활돔(돌돔)","에히메현","2015-07-07","575","불검출","불검출","적합"
"24","활장어(먹장어)","야마구치현","2015-07-07","2,387","불검출","불검출","적합"
