"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","30건","-","-","118,954","-","-","-"
"1","활가리비","홋카이도","2015-6-3","7,500","불검출","불검출","적합"
"2","활가리비","홋카이도","2015-6-3","7,000","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-6-3","6,500","불검출","불검출","적합"
"4","활장어(먹장어)","후쿠오카현","2015-6-3","3,389","불검출","불검출","적합"
"5","냉동상어(청상아리,F)","인도양","2015-6-3","2,218","불검출","불검출","적합"
"6","냉동상어(진환도상어,F)","태평양","2015-6-3","374","불검출","불검출","적합"
"7","활가리비","홋카이도","2015-6-3","6,718","불검출","불검출","적합"
"8","냉장갈치","후쿠오카현","2015-6-3","1,104","불검출","불검출","적합"
"9","냉장갈치","야마구치현","2015-6-3","555","불검출","불검출","적합"
"10","냉장홍어","홋카이도","2015-6-3","5,103","불검출","불검출","적합"
"11","냉장갈치","히로시마현","2015-6-3","360","불검출","불검출","적합"
"12","냉장갈치","에히메현","2015-6-3","264","불검출","불검출","적합"
"13","냉장갈치","오이타현","2015-6-3","296","불검출","불검출","적합"
"14","냉장홍어","홋카이도","2015-6-3","7,138","불검출","불검출","적합"
"15","냉장명태","홋카이도","2015-6-3","2,748","불검출","불검출","적합"
"16","냉장명태","홋카이도","2015-6-3","2,454","불검출","불검출","적합"
"17","냉장홍어","홋카이도","2015-6-3","7,104","불검출","불검출","적합"
"18","활꼬막","사가현","2015-6-3","600","불검출","불검출","적합"
"19","활꼬막(새꼬막)","사가현","2015-6-3","3,100","불검출","불검출","적합"
"20","활가리비","홋카이도","2015-6-3","14,170","불검출","불검출","적합"
"21","활가리비","홋카이도","2015-6-3","7,227","불검출","불검출","적합"
"22","활가리비","홋카이도","2015-6-3","7,262","불검출","불검출","적합"
