"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","11건","","","51,095","-","-","-"
"1","활참돔","나가사키현","2015-05-01","9,593","불검출","불검출","적합"
"2","활참돔","나가사키현","2015-05-01","9,280","불검출","불검출","적합"
"3","활참돔","구마모토현","2015-05-01","17,268","불검출","불검출","적합"
"4","활돌돔","가나가와현","2015-05-01","120","불검출","불검출","적합"
"5","활강담돔","오이타현","2015-05-01","450","불검출","불검출","적합"
"6","냉동남방참다랑어","인도양","2015-05-01","1,521","불검출","불검출","적합"
"7","냉장명태","홋카이도","2015-05-01","3,696","불검출","불검출","적합"
"8","냉장홍어","홋카이도","2015-05-01","1,305","불검출","불검출","적합"
"9","냉장명태","홋카이도","2015-05-01","3,716","불검출","불검출","적합"
"10","활해삼","니가타현","2015-05-01","2,550","불검출","불검출","적합"
"11","활먹장어","후쿠오카현","2015-05-01","1,596","불검출","불검출","적합"
