"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","10건","","","502,220","-","-","-"
"1","냉동명태곤이","러시아","2015-05-01","24,564","불검출","불검출","적합"
"2","냉동꽁치","대만","2015-05-01","45,960","불검출","불검출","적합"
"3","냉동꽁치","대만","2015-05-01","45,670","불검출","불검출","적합"
"4","냉동고등어","중국","2015-05-01","22,045","불검출","불검출","적합"
"5","냉동명태","러시아","2015-05-01","237,582","불검출","불검출","적합"
"6","냉동각시가자미","러시아","2015-05-01","21,500","불검출","불검출","적합"
"7","냉동고등어","중국","2015-05-01","12,000","불검출","불검출","적합"
"8","냉동고등어","중국","2015-05-01","12,000","불검출","불검출","적합"
"9","냉동각시가자미","러시아","2015-05-01","21,500","불검출","불검출","적합"
"10","냉동꽁치","대만","2015-05-01","59,399","불검출","불검출","적합"
