"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","117","","282,634","","",""
"1","캔디류(사탕)","오사카부","2014-11-01","76.5","불검출","불검출","적합"
"2","당류가공품","교토부","2014-11-01","115.2","불검출","불검출","적합"
"3","조미건어포류","에히메현","2015-02-18","28","불검출","불검출","적합"
"4","튀김식품","히로시마현","2015-02-19","15.84","불검출","불검출","적합"
"5","수산물가공품","히로시마현","2015-02-18","24.8","불검출","불검출","적합"
"6","튀김식품","히로시마현","2015-02-16","58","불검출","불검출","적합"
"7","과자(스낵과자)","아이치현","2015-02-13","46.8","불검출","불검출","적합"
"8","과자(스낵과자)","아이치현","2015-02-06","165.6","불검출","불검출","적합"
"9","농산물조림","야마가타현","2015-02-02","480","불검출","불검출","적합"
"10","양조간장","아이치현","2015-02-09","540","불검출","불검출","적합"
"11","떡류","오사카부","2014-12-01","73.5","불검출","불검출","적합"
"12","캔디류(사탕)","오사카부","2014-12-01","78","불검출","불검출","적합"
