"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","88","","406,612","","",""
"1","액상차","기후현","2014-09-15","937.44","불검출","불검출","적합"
"2","소스류","사이타마현","2015-01-15","200","불검출","불검출","적합"
"3","청주","교토부","2015-02-01","1,200","불검출","불검출","적합"
"4","유탕면류","가고시마현","2014-12-20","450","불검출","불검출","적합"
"5","유탕면류","가고시마현","2015-02-05","1,161","불검출","불검출","적합"
"6","유탕면류","가고시마현","2015-01-29","1,188","불검출","불검출","적합"
"7","유탕면류","가고시마현","2015-01-26","1,188","불검출","불검출","적합"
"8","과자(비스킷)","니가타현","2015-02-14","315","불검출","불검출","적합"
"9","양조간장","지바현","2014-11-26","10,530","불검출","불검출","적합"
"10","카레","나가노현","2015-01-05","500","불검출","불검출","적합"
"11","카레","니가타현","2015-01-29","600","불검출","불검출","적합"
"12","카레","나가노현","2014-12-27","1,600","불검출","불검출","적합"
