"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","35건","","","160,323","-","-","-"
"1","활돔(참돔)","에히메현","2015-02-17","7,380","불검출","불검출","적합"
"2","활방어","에히메현","2015-02-17","4,804","불검출","불검출","적합"
"3","활돔(참돔)","에히메현","2015-02-17","9,264","불검출","불검출","적합"
"4","활가리비","홋카이도","2015-02-17","6,500","불검출","불검출","적합"
"5","활가리비","홋카이도","2015-02-17","5,500","불검출","불검출","적합"
"6","활백합
(Mercenaria mercenaria)","도쿄도","2015-02-17","4,000","불검출","불검출","적합"
"7","활가리비","홋카이도","2015-02-17","6,800","불검출","불검출","적합"
"8","활가리비","홋카이도","2015-02-17","7,500","불검출","불검출","적합"
"9","활가리비","홋카이도","2015-02-17","6,000","불검출","불검출","적합"
"10","냉동갈치","야마구치현","2015-02-17","1,255","불검출","불검출","적합"
"11","냉동상어","에히메현","2015-02-17","256","불검출","불검출","적합"
"12","활가리비","홋카이도","2015-02-17","7,619","불검출","불검출","적합"
"13","냉장홍어","홋카이도","2015-02-17","2,248","불검출","불검출","적합"
"14","냉동남방참다랑어","인도양","2015-02-17","7,975","불검출","불검출","적합"
"15","냉장명태","홋카이도","2015-02-17","2,000","불검출","불검출","적합"
"16","냉동눈다랑어(목살)","시즈오카현","2015-02-17","240","불검출","불검출","적합"
"17","냉장명태","홋카이도","2015-02-17","4,000","불검출","불검출","적합"
"18","활가리비","홋카이도","2015-02-17","7,907","불검출","불검출","적합"
"19","냉장갈치","와카야마현","2015-02-17","728","불검출","불검출","적합"
"20","냉장가오리","야마구치현","2015-02-17","770","불검출","불검출","적합"
"21","냉장갈치","야마구치현","2015-02-17","5,648","불검출","불검출","적합"
"22","활꼬막(새꼬막)","후쿠오카현","2015-02-17","3,460","불검출","불검출","적합"
"23","활가리비","홋카이도","2015-02-17","6,771","불검출","불검출","적합"
"24","활가리비","홋카이도","2015-02-17","7,437","불검출","불검출","적합"
"25","활가리비","홋카이도","2015-02-17","7,601","불검출","불검출","적합"
