"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","107건","","181,856","","",""
"1","양조간장","후쿠오카현","2014-09-17","81","불검출","불검출","적합"
"2","냉면","나가노현","2014-12-24","39","불검출","불검출","적합"
"3","소스류","오이타현","2014-12-23","1,560","불검출","불검출","적합"
"4","과실주","프랑스","2014-12-23","90","불검출","불검출","적합"
"5","조미건어포류","훗카이도","2014-11-13","240","불검출","불검출","적합"
"6","조미건어포류","에히메현","2015-01-16","300","불검출","불검출","적합"
"7","과자(크래커)","이바라키현","2014-11-21","381.6","불검출","불검출","적합"
"8","캔디류(사탕)","미에현","2014-11-17","422.4","불검출","불검출","적합"
"9","캔디류(사탕)","아이치현","2015-01-13","2,592","불검출","불검출","적합"
"10","캔디류(사탕)","아이치현","2015-01-14","2,304","불검출","불검출","적합"
"11","캔디류(사탕)","아이치현","2015-01-14","1,188","불검출","불검출","적합"
"12","트랜스글루코시다
아제","시가현","2014-12-04","501","불검출","불검출","적합"
