"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"42","혼합제제","가나가와현","2014-11-11","10","불검출","불검출","적합"
"43","트랜스글루타미나
아제","가나가와현","2014-12-08","400","불검출","불검출","적합"
"44","트랜스글루타미나
아제","가나가와현","2014-11-10","70","불검출","불검출","적합"
"45","복합조미식품","가나가와현","2014-09-09","580","불검출","불검출","적합"
"46","맥주","오이타현","2014-12-01","29,040","불검출","불검출","적합"
"47","복합조미식품","가나가와현","2014-11-12","190","불검출","불검출","적합"
"48","복합조미식품","훗카이도","2014-12-13","9","불검출","불검출","적합"
"49","소주","미야자키현","2014-12-09","270","불검출","불검출","적합"
"50","복합조미식품","훗카이도","2014-12-13","18","불검출","불검출","적합"
"51","소주","미야자키현","2014-12-10","270","불검출","불검출","적합"
"52","소주","미야자키현","2014-12-15","270","불검출","불검출","적합"
"53","기타가공품","훗카이도","2014-12-15","204","불검출","불검출","적합"
"54","소주","가고시마현","2014-10-31","172.8","불검출","불검출","적합"
"55","청주","교토부","2014-11-05","540","불검출","불검출","적합"
"56","청주","교토부","2014-12-11","1,944","불검출","불검출","적합"
"57","청주","야마가타현","2014-12-01","21.6","불검출","불검출","적합"
"58","국수","훗카이도","2014-12-17","108.3","불검출","불검출","적합"
"59","조미건어포류","후쿠오카현","2014-12-12","8.4","불검출","불검출","적합"
"60","과자(비스킷)","아이치현","2015-01-07","115.2","불검출","불검출","적합"
"61","캔디류(사탕)","훗카이도","2014-12-15","27.3","불검출","불검출","적합"
"62","글리신","가나가와현","2014-11-21","14,400","불검출","불검출","적합"
"63","액상차","후쿠이현","2014-12-17","996","불검출","불검출","적합"
"64","캔디류(젤리)","아이치현","2014-12-23","55.4","불검출","불검출","적합"
"65","과자(스낵과자)","아이치현","2014-12-20","99","불검출","불검출","적합"
"66","과자(크래커)","아이치현","2014-12-20","19.2","불검출","불검출","적합"
"67","액상차","후쿠이현","2014-12-05","1,788","불검출","불검출","적합"
"68","과자(스낵과자)","사이타마현","2014-08-11","2,512","불검출","불검출","적합"
"69","카레","니가타현","2014-12-12","5,760","불검출","불검출","적합"
"70","카레","니가타현","2014-12-05","4,320","불검출","불검출","적합"
