"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","71건","","105,413","","",""
"1","당류가공품","에히메현","2014-10-09","161","불검출","불검출","적합"
"2","청주","효고현","2014-11-04","114","불검출","불검출","적합"
"3","청주","효고현","2014-09-01","95","불검출","불검출","적합"
"4","발효식초","도쿄도","2014-11-12","144","불검출","불검출","적합"
"5","청주","효고현","2014-11-13","281","불검출","불검출","적합"
"6","청주","효고현","2014-11-22","180","불검출","불검출","적합"
"7","청주","효고현","2014-11-13","2,700","불검출","불검출","적합"
"8","청주","효고현","2014-11-07","1,620","불검출","불검출","적합"
"9","청주","효고현","2014-11-07","540","불검출","불검출","적합"
"10","과자(스낵과자)","미에현","2014-11-17","11,292","불검출","불검출","적합"
"11","국수","사이타마현","2014-12-02","410","불검출","불검출","적합"
"12","국수","사이타마현","2014-12-02","700","불검출","불검출","적합"
