"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"13","빵류(케이크)","가나가와현","2014-09-01","35","불검출","불검출","적합"
"14","빵류(케이크)","가나가와현","2014-04-23","79","불검출","불검출","적합"
"15","커피/건조","브라질","2012-09-06","6,000","불검출","불검출","적합"
"16","과자(스낵과자)","고치현","2014-12-05","19","불검출","불검출","적합"
"17","과자(크래커)","이와테현","2014-11-28","71","불검출","불검출","적합"
"18","소스류","미에현","2014-08-26","128","불검출","불검출","적합"
"19","캔디류(사탕)","아이치현","2014-12-15","1,574","불검출","불검출","적합"
"20","캔디류(사탕)","아이치현","2014-12-13","1,944","불검출","불검출","적합"
"21","캔디류(양갱)","아이치현","2014-12-10","648","불검출","불검출","적합"
"22","소스류","효고현","2014-09-16","68","불검출","불검출","적합"
"23","침출차","고치현","2014-11-24","6","불검출","불검출","적합"
"24","캔디류(젤리)","아이치현","2014-11-27","48","불검출","불검출","적합"
"25","커피/건조","브라질","2014-06-26","12,000","불검출","불검출","적합"
"26","된장","나가노현","2014-12-02","2,160","불검출","불검출","적합"
"27","빵류(그외 빵류)","가가와현","2014-11-30","64","불검출","불검출","적합"
"28","빵류(카스텔라)","도쿄도","2014-11-30","58","불검출","불검출","적합"
"29","빵류(카스텔라)","도쿄도","2014-11-30","58","불검출","불검출","적합"
"30","빵류(카스텔라)","사이타마현","2014-11-30","43","불검출","불검출","적합"
"31","빵류(카스텔라)","사이타마현","2014-11-30","62","불검출","불검출","적합"
"32","과자(스낵과자)","사이타마현","2014-07-15","2,512","불검출","불검출","적합"
"33","칼슘","오키나와현","2014-11-16","27","불검출","불검출","적합"
"34","무기질","오키나와현","2014-11-16","27","불검출","불검출","적합"
"35","청주","후쿠오카현","2014-12-20","167","불검출","불검출","적합"
"36","카라멜색소","히로시마현","2014-12-22","5,058","불검출","불검출","적합"
"37","맥주","후쿠오카현","2014-12-11","82,200","불검출","불검출","적합"
"38","맥주","후쿠오카현","2014-12-11","98,640","불검출","불검출","적합"
"39","청주","후쿠오카현","2014-12-08","1,620","불검출","불검출","적합"
"40","당류가공품","오카야마현","2014-11-13","17,440","불검출","불검출","적합"
"41","청주","오이타현","2014-12-10","2,700","불검출","불검출","적합"
