"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","109건","","857,627","","",""
"1","국수","사이타마현","2014-12-01","600","불검출","불검출","적합"
"2","캔디류(젤리)","아이치현","2014-12-03","116","불검출","불검출","적합"
"3","건어포류","가고시마현","2014-11-15","1,079","불검출","불검출","적합"
"4","조미건어포류","에히메현","2014-11-27","10.5","불검출","불검출","적합"
"5","소스류","나가사키현","2014-12-03","1,340","불검출","불검출","적합"
"6","스피루리나 제품","도야마현","2014-11-07","1,236","불검출","불검출","적합"
"7","가공두부","교토부","2014-12-18","1,700","불검출","불검출","적합"
"8","청주","도치기현","2014-12-06","518.4","불검출","불검출","적합"
"9","준초콜릿","에히메현","2014-10-29","72","불검출","불검출","적합"
"10","건어포류","오사카부","2014-12-08","500","불검출","불검출","적합"
"11","건어포류","오사카부","2014-12-08","600","불검출","불검출","적합"
"12","준초콜릿","에히메현","2014-10-29","109","불검출","불검출","적합"
