"","","제조·생산지 제조일자","","중량
(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","97건","","107,723","","",""
"1","혼합제제","구마모토현","2014-06-17","200","불검출","불검출","적합"
"2","수산물가공품","오키나와현","2014-12-01","135","불검출","불검출","적합"
"3","드레싱","사가현","2014-11-04","1,296","불검출","불검출","적합"
"4","당류가공품","교토부","2014-11-20","234","불검출","불검출","적합"
"5","볶은커피","시즈오카현","2014-09-24","1,200","불검출","불검출","적합"
"6","볶은커피","효고현","2014-11-02","600","불검출","불검출","적합"
"7","볶은커피","효고현","2014-10-27","1,200","불검출","불검출","적합"
"8","침출차","시즈오카현","2014-11-17","300","불검출","불검출","적합"
"9","기타주류","시즈오카현","2014-11-11","144","불검출","불검출","적합"
"10","기타주류","시즈오카현","2014-11-05","144","불검출","불검출","적합"
"11","된장","교토부","2014-11-19","150","불검출","불검출","적합"
"12","수산물가공품","효고현","2014-11-19","28.8","불검출","불검출","적합"
"13","기타가공품","미에현","2014-10-30","36","불검출","불검출","적합"
"14","드레싱","사가현","2014-11-07","450","불검출","불검출","적합"
