"순 번","품목명","제조·생산지 제조일자","","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"15","마요네즈","사가현","2014-11-06","150","불검출","불검출","적합"
"16","양조간장","아이치현","2014-11-18","756","불검출","불검출","적합"
"17","기타설탕","오사카부","2014-09-18","1,000","불검출","불검출","적합"
"18","혼합장","효고현","2014-10-20","108","불검출","불검출","적합"
"19","음료베이스","후쿠오카현","2014-12-03","662","불검출","불검출","적합"
"20","캔디류(젤리)","아이치현","2014-11-25","360","불검출","불검출","적합"
"21","청주","후쿠오카현","2014-10-24","23,544","불검출","불검출","적합"
"22","소스류","지바현","2014-10-31","642","불검출","불검출","적합"
"23","소스류","도치기현","2014-10-01","750","불검출","불검출","적합"
"24","드레싱","도치기현","2014-10-20","60","불검출","불검출","적합"
"25","복합조미식품","오카야마현","2014-10-31","24.48","불검출","불검출","적합"
"26","초콜릿가공품","아이치현","2014-11-24","372","불검출","불검출","적합"
"27","복합조미식품","미에현","2014-11-06","20.7","불검출","불검출","적합"
"28","과자(비스킷)","니가타현","2014-11-10","86.4","불검출","불검출","적합"
"29","캔디류(젤리)","오카야마현","2014-10-20","124","불검출","불검출","적합"
"30","과자(웨이퍼)","기후현","2014-11-19","180","불검출","불검출","적합"
"31","청주","아오모리현","2014-11-01","3,240","불검출","불검출","적합"
"32","캔디류(사탕)","아이치현","2014-11-21","518.76","불검출","불검출","적합"
"33","청주","니가타현","2014-10-31","25,920","불검출","불검출","적합"
"34","과자(비스킷)","니가타현","2014-11-19","129.6","불검출","불검출","적합"
"35","된장","아이치현","2014-11-17","36","불검출","불검출","적합"
"36","기타가공품","오사카부","2014-11-21","200","불검출","불검출","적합"
"37","과자(스낵과자)","야마나시현","2014-11-14","79.2","불검출","불검출","적합"
"38","카레","아오모리현","2014-11-08","170","불검출","불검출","적합"
"39","소스류","도쿄도","2014-10-31","165","불검출","불검출","적합"
"40","혼합제제","시가현","2014-12-09","20","불검출","불검출","적합"
"41","청주","아키타현","2014-11-22","21.6","불검출","불검출","적합"
"42","소주","미야자키현","2014-11-21","54","불검출","불검출","적합"
"43","기타주류","후쿠오카현","2014-10-20","54","불검출","불검출","적합"
"44","청주","후쿠오카현","2014-11-21","140.4","불검출","불검출","적합"
"45","소스류","군마현","2014-10-17","48","불검출","불검출","적합"
"46","소스류","지바현","2014-10-27","1,800","불검출","불검출","적합"
"47","당류가공품","시즈오카현","2014-10-21","160","불검출","불검출","적합"
"48","기타코코아가공품","이바라키현","2014-10-16","120","불검출","불검출","적합"
"49","준초콜릿","가나가와현","2014-11-07","114","불검출","불검출","적합"
"50","화이트초콜릿","가나가와현","2014-10-06","1,202.88","불검출","불검출","적합"
"51","캔디류(캐러멜)","군마현","2014-11-17","135.36","불검출","불검출","적합"
