"순 번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"13","청주","효고현","2014-10-16","984","불검출","불검출","적합"
"14","청주","효고현","2014-11-01","180","불검출","불검출","적합"
"15","청주","효고현","2014-10-30","72","불검출","불검출","적합"
"16","혼합제제","시가현","2014-11-11","650.52","불검출","불검출","적합"
"17","기타천연착향료","시즈오카현","2014-11-14","200","불검출","불검출","적합"
"18","기타가공품","사이타마현","2014-11-19","100","불검출","불검출","적합"
"19","기타가공품","사이타마현","2014-11-05","100","불검출","불검출","적합"
"20","기타가공품","사이타마현","2014-11-19","30","불검출","불검출","적합"
"21","기타가공품","사이타마현","2014-11-19","300","불검출","불검출","적합"
"22","혼합제제","와카야마현","2014-11-14","45","불검출","불검출","적합"
"23","혼합제제","효고현","2014-11-21","17","불검출","불검출","적합"
"24","혼합제제","효고현","2014-12-02","34","불검출","불검출","적합"
"25","혼합제제","효고현","2014-12-02","34","불검출","불검출","적합"
"26","5'-이노신산이나
트륨","가나가와현","2013-08-06","2,150","불검출","불검출","적합"
"27","과자(비스킷)","이바라키현","2014-11-20","1,080","불검출","불검출","적합"
"28","과자(비스킷)","이바라키현","2014-11-21","174.96","불검출","불검출","적합"
"29","과자(비스킷)","이바라키현","2014-11-21","96","불검출","불검출","적합"
"30","당류가공품","오사카부","2014-11-14","535.8","불검출","불검출","적합"
"31","당류가공품","오사카부","2014-11-17","581.4","불검출","불검출","적합"
"32","과자(비스킷)","아이치현","2014-11-14","85.4","불검출","불검출","적합"
"33","즉석조리식품","효고현","2014-10-07","160","불검출","불검출","적합"
"34","국수","훗카이도","2014-10-30","97.6","불검출","불검출","적합"
"35","국수","훗카이도","2014-10-22","100.2","불검출","불검출","적합"
"36","과자(비스킷)","이바라키현","2014-11-21","60","불검출","불검출","적합"
"37","캔디류(사탕)","아이치현","2014-11-07","619.2","불검출","불검출","적합"
"38","캔디류(사탕)","아이치현","2014-11-17","157.2","불검출","불검출","적합"
"39","캔디류(사탕)","아이치현","2014-11-21","157.2","불검출","불검출","적합"
"40","캔디류(사탕)","아이치현","2014-11-19","332.64","불검출","불검출","적합"
"41","침출차","효고현","2014-09-26","16.2","불검출","불검출","적합"
"42","캔디류(사탕)","아이치현","2014-11-22","518.76","불검출","불검출","적합"
"43","캔디류(사탕)","아이치현","2014-11-17","540","불검출","불검출","적합"
"44","캔디류(사탕)","아이치현","2014-11-18","2,520","불검출","불검출","적합"
"45","어묵","시마네현","2014-11-14","1,568.6","불검출","불검출","적합"
"46","건어포류","에히메현","2014-11-20","160","불검출","불검출","적합"
"47","어묵","시마네현","2014-11-13","1,700","불검출","불검출","적합"
