"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","97건","","100,812","","",""
"1","당류가공품","교토부","2014-10-18","184.5","불검출","불검출","적합"
"2","당류가공품","오사카부","2014-10-15","183.6","불검출","불검출","적합"
"3","당류가공품","오사카부","2014-10-16","169.2","불검출","불검출","적합"
"4","당류가공품","교토부","2014-10-16","156.6","불검출","불검출","적합"
"5","당류가공품","교토부","2014-10-17","153.9","불검출","불검출","적합"
"6","과자(크래커)","기후현","2014-10-14","180","불검출","불검출","적합"
"7","떡류","효고현","2014-10-07","406","불검출","불검출","적합"
"8","당류가공품","교토부","2014-10-17","138.6","불검출","불검출","적합"
"9","볶은커피","시즈오카현","2014-10-01","1,200","불검출","불검출","적합"
"10","볶은커피","시즈오카현","2014-09-24","1,200","불검출","불검출","적합"
"11","청주","효고현","2014-10-21","1,200","불검출","불검출","적합"
"12","청주","효고현","2014-10-02","540","불검출","불검출","적합"
"13","소주","가고시마현","2014-10-21","324","불검출","불검출","적합"
"14","청주","니가타현","2014-10-20","434.16","불검출","불검출","적합"
"15","효소처리루틴","지바현","2014-03-04","300","불검출","불검출","적합"
"16","액상커피","시가현","2014-10-24","3,300","불검출","불검출","적합"
"17","볶은커피","효고현","2014-10-16","24","불검출","불검출","적합"
