"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"20","빵류(그외 빵류)","가가와현","2014-07-13","88","불검출","불검출","적합"
"21","빵류(카스텔라)","도쿄도","2014-07-13","57.6","불검출","불검출","적합"
"22","빵류(카스텔라)","도쿄도","2014-07-13","57.6","불검출","불검출","적합"
"23","빵류(카스텔라)","사이타마현","2014-07-13","72","불검출","불검출","적합"
"24","빵류(카스텔라)","사이타마현","2014-07-13","96","불검출","불검출","적합"
"25","국수","사이타마현","2014-07-18","600","불검출","불검출","적합"
"26","혼합제제","효고현","2014-07-29","150","불검출","불검출","적합"
"27","혼합제제","효고현","2014-07-29","120","불검출","불검출","적합"
"28","혼합제제","효고현","2014-07-28","90","불검출","불검출","적합"
"29","혼합제제","효고현","2014-07-29","13","불검출","불검출","적합"
"30","혼합제제","효고현","2014-07-29","75","불검출","불검출","적합"
"31","혼합제제","효고현","2014-07-29","90","불검출","불검출","적합"
"32","혼합제제","효고현","2014-07-29","90","불검출","불검출","적합"
"33","혼합제제","효고현","2014-07-29","120","불검출","불검출","적합"
"34","기타가공품","와카야마현","2014-07-29","3,000","불검출","불검출","적합"
"35","소스류","사이타마현","2014-06-03","120","불검출","불검출","적합"
"36","건어포류","에히메현","2014-07-04","540","불검출","불검출","적합"
"37","청주","니가타현","2014-07-17","8,388","불검출","불검출","적합"
"38","청주","미야기현","2014-07-02","172.8","불검출","불검출","적합"
"39","청주","니가타현","2014-07-02","70.2","불검출","불검출","적합"
"40","청주","니가타현","2014-01-30","1,900.8","불검출","불검출","적합"
"41","청주","훗카이도","2014-05-30","972","불검출","불검출","적합"
"42","청주","니가타현","2014-07-14","972","불검출","불검출","적합"
"43","맥주","오이타현","2014-06-21","29,520","불검출","불검출","적합"
"44","소스류","효고현","2014-07-04","180","불검출","불검출","적합"
"45","초콜릿가공품","오사카부","2014-07-18","2,268","불검출","불검출","적합"
"46","초콜릿가공품","시즈오카현","2014-06-23","211.2","불검출","불검출","적합"
"47","청주","효고현","2014-07-18","1,080","불검출","불검출","적합"
"48","청주","효고현","2014-07-14","432","불검출","불검출","적합"
"49","청주","효고현","2014-07-07","86.4","불검출","불검출","적합"
"50","청주","효고현","2014-07-07","432","불검출","불검출","적합"
"51","청주","기후현","2014-07-01","54","불검출","불검출","적합"
"52","청주","도야마현","2014-07-01","129.6","불검출","불검출","적합"
"53","청주","도야마현","2014-07-01","43.2","불검출","불검출","적합"
"54","기타천연착향료","시가현","2014-08-01","300","불검출","불검출","적합"
"55","기타천연착향료","오카야마현","2014-04-07","150","불검출","불검출","적합"
"56","혼합제제","가나가와현","2014-06-20","60","불검출","불검출","적합"
"57","혼합제제","가나가와현","2014-06-25","1,050","불검출","불검출","적합"
"58","과자(스낵과자)","아이치현","2014-07-29","880","불검출","불검출","적합"
"59","과자(스낵과자)","아이치현","2014-07-30","960","불검출","불검출","적합"
"60","카레","니가타현","2014-07-22","4,320","불검출","불검출","적합"
"61","카레","니가타현","2014-06-18","3,009.6","불검출","불검출","적합"
"62","카레","니가타현","2014-07-22","1,008","불검출","불검출","적합"
"63","카레","니가타현","2014-05-30","360","불검출","불검출","적합"
"64","카레","니가타현","2014-05-14","360","불검출","불검출","적합"
"65","카레","니가타현","2014-06-03","360","불검출","불검출","적합"
"66","복합조미식품","도치기현","2014-06-07","288","불검출","불검출","적합"
"67","향신료조제품(고추냉이가공품)","사이타마현","2014-06-26","129","불검출","불검출","적합"
"68","소스류","도치기현","2014-06-27","79.2","불검출","불검출","적합"
"69","향신료조제품(고추냉이가공품)","사이타마현","2014-07-05","215","불검출","불검출","적합"
