"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","12건","-","-","222,801","-","-","-"
"1","냉동명태(F)","러시아","2014-7-31","23,000","불검출","불검출","적합"
"2","냉동명태(F)","러시아","2014-7-31","9,000","불검출","불검출","적합"
"3","냉동다랑어(눈다랑어,F,횟감)","중국","2014-7-31","3,500","불검출","불검출","적합"
"4","냉동곤이(명태)","러시아","2014-7-31","2,745","불검출","불검출","적합"
"5","냉동명태(F)","러시아","2014-7-31","14,400","불검출","불검출","적합"
"6","냉동가자미(각시가자미) 미국","","2014-7-31","99,921","불검출","불검출","적합"
"7","냉동상어(청상아리)","중국","2014-7-31","7,845","불검출","불검출","적합"
"8","냉동상어(곱상어)","미국","2014-7-31","12,514","불검출","불검출","적합"
"9","냉동명태(F)","러시아","2014-7-31","16,295","불검출","불검출","적합"
"10","냉동상어(청상아리)","대만","2014-7-31","536","불검출","불검출","적합"
"11","냉동가자미(까지가자미) 러시아","","2014-7-31","22,800","불검출","불검출","적합"
"12","냉동다랑어(황다랑어)","대만","2014-7-31","10,245","불검출","불검출","적합"
