"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","102건","","255,450","","",""
"1","카레","아이치현","2014-05-22","1,500","불검출","불검출","적합"
"2","소스류","가나가와현","2014-06-26","79.55","불검출","불검출","적합"
"3","소스류","가나가와현","2014-06-26","263.25","불검출","불검출","적합"
"4","소스류","가나가와현","2014-06-26","265.5","불검출","불검출","적합"
"5","소스류","가나가와현","2014-06-25","252","불검출","불검출","적합"
"6","이산화탄소","사이타마현","2014-06-10","16,699","불검출","불검출","적합"
"7","효모추출물","이바라키현","2014-06-16","500","불검출","불검출","적합"
"8","된장","훗카이도","2014-06-19","320","불검출","불검출","적합"
"9","된장","훗카이도","2014-06-15","600","불검출","불검출","적합"
"10","조미된장","훗카이도","2014-06-16","600","불검출","불검출","적합"
"11","캔디류(젤리)","아이치현","2014-07-03","135.6","불검출","불검출","적합"
"12","캔디류(젤리)","아이치현","2014-07-03","135.6","불검출","불검출","적합"
"13","캔디류(양갱)","아이치현","2014-06-18","691.2","불검출","불검출","적합"
"14","국수","효고현","2014-05-27","180","불검출","불검출","적합"
"15","소스류","도쿄도","2014-05-14","180","불검출","불검출","적합"
"16","맥주","오이타현","2014-06-20","66,240","불검출","불검출","적합"
"17","청주","아이치현","2014-06-19","1,258.2","불검출","불검출","적합"
"18","청주","아이치현","2014-04-01","86.4","불검출","불검출","적합"
