"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","88건","","178,113","","",""
"1","즉석조리식품","미에현","2014-05-09","20.4","불검출","불검출","적합"
"2","조미건어포류","야마나시현","2014-06-03","13.9","불검출","불검출","적합"
"3","벤토나이트","효고현","2014-01-30","200","불검출","불검출","적합"
"4","혼합제제","효고현","2014-06-18","34","불검출","불검출","적합"
"5","혼합제제","효고현","2014-06-18","102","불검출","불검출","적합"
"6","조미건어포류","야마나시현","2014-06-02","14.4","불검출","불검출","적합"
"7","조미건어포류","훗카이도","2014-05-27","10.9","불검출","불검출","적합"
"8","기타가공품","훗카이도","2014-05-27","6.2","불검출","불검출","적합"
"9","식초절임","오사카부","2014-05-13","5.1","불검출","불검출","적합"
"10","조미건어포류","아오모리현","2014-05-29","7.3","불검출","불검출","적합"
"11","과자(스낵과자)","히로시마현","2014-06-02","12","불검출","불검출","적합"
"12","조미건어포류","훗카이도","2014-05-14","7.6","불검출","불검출","적합"
"13","유탕면류","기후현","2014-04-26","19.8","불검출","불검출","적합"
"14","소스류","야마가타현","2014-03-24","22.5","불검출","불검출","적합"
"15","즉석조리식품","야마가타현","2014-04-11","18","불검출","불검출","적합"
"16","기타가공품","사이타마현","2014-02-11","6","불검출","불검출","적합"
"17","청주","효고현","2014-06-18","86.4","불검출","불검출","적합"
"18","캔디류(사탕)","아이치현","2014-06-03","1,584","불검출","불검출","적합"
