"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"19","캔디류(사탕)","아이치현","2014-06-06","1,188","불검출","불검출","적합"
"20","캔디류(사탕)","아이치현","2014-06-11","600","불검출","불검출","적합"
"21","캔디류(사탕)","아이치현","2014-06-12","450","불검출","불검출","적합"
"22","캔디류(사탕)","아이치현","2014-05-28","201.6","불검출","불검출","적합"
"23","캔디류(사탕)","아이치현","2014-05-29","124.8","불검출","불검출","적합"
"24","캔디류(젤리)","아이치현","2014-06-04","252","불검출","불검출","적합"
"25","캔디류(젤리)","아이치현","2014-05-15","102","불검출","불검출","적합"
"26","과자(스낵과자)","아이치현","2014-06-11","414","불검출","불검출","적합"
"27","과자(스낵과자)","아이치현","2014-06-06","234","불검출","불검출","적합"
"28","과자(한과류)","도쿠시마현","2014-06-09","540","불검출","불검출","적합"
"29","과자(한과류)","도쿠시마현","2014-06-10","540","불검출","불검출","적합"
"30","복합조미식품","니가타현","2014-04-23","90","불검출","불검출","적합"
"31","냉면","사이타마현","2014-05-30","666","불검출","불검출","적합"
"32","기타천연착향료","이바라키현","2014-06-04","120","불검출","불검출","적합"
"33","혼합제제","이바라키현","2014-05-27","330","불검출","불검출","적합"
"34","혼합제제","이바라키현","2014-06-04","195","불검출","불검출","적합"
"35","혼합제제","이바라키현","2014-06-05","1,245","불검출","불검출","적합"
"36","혼합제제","가나가와현","2014-06-05","45","불검출","불검출","적합"
"37","혼합제제","가나가와현","2014-06-04","45","불검출","불검출","적합"
"38","혼합제제","이바라키현","2014-06-03","30","불검출","불검출","적합"
"39","혼합제제","이바라키현","2014-06-06","180","불검출","불검출","적합"
"40","과.채가공품","오카야마현","2014-05-07","9,600","불검출","불검출","적합"
"41","과자(비스킷)","이바라키현","2014-06-16","833.22","불검출","불검출","적합"
"42","혼합제제","이바라키현","2014-06-06","345","불검출","불검출","적합"
"43","과자(비스킷)","이바라키현","2014-06-17","218.59","불검출","불검출","적합"
"44","과자(비스킷)","이바라키현","2014-06-16","194.4","불검출","불검출","적합"
"45","국수","니가타현","2014-06-17","162","불검출","불검출","적합"
"46","혼합제제","사이타마현","2014-06-10","795","불검출","불검출","적합"
"47","혼합제제","도치기현","2014-06-11","120","불검출","불검출","적합"
"48","혼합제제","도치기현","2014-06-16","1,005","불검출","불검출","적합"
"49","글리신","가나가와현","2014-06-03","2,000","불검출","불검출","적합"
"50","과자(스낵과자)","이바라키현","2014-06-19","372","불검출","불검출","적합"
"51","갈락토올리고당","아이치현","2014-05-27","1,000","불검출","불검출","적합"
"52","혼합제제","효고현","2014-06-19","17","불검출","불검출","적합"
"53","혼합제제","효고현","2014-06-24","34","불검출","불검출","적합"
"54","혼합제제","효고현","2014-06-19","17","불검출","불검출","적합"
"55","맥주","후쿠오카현","2014-05-21","65,760","불검출","불검출","적합"
"56","혼합제제","효고현","2014-06-24","68","불검출","불검출","적합"
"57","혼합제제","사이타마현","2014-03-17","200","불검출","불검출","적합"
"58","트랜스글루코시다아제","시가현","2014-05-21","100","불검출","불검출","적합"
"59","alpha-아밀라아제(세균성)","시가현","2014-05-13","40","불검출","불검출","적합"
"60","alpha-아밀라아제(세균성)","시가현","2014-02-27","100","불검출","불검출","적합"
"61","맥주","후쿠오카현","2014-06-01","30,300","불검출","불검출","적합"
"62","맥주","후쿠오카현","2014-05-28","33,600","불검출","불검출","적합"
"63","수산물가공품","미에현","2014-06-19","650","불검출","불검출","적합"
"64","떡류","니가타현","2014-06-25","504","불검출","불검출","적합"
"65","떡류","니가타현","2014-06-25","201.6","불검출","불검출","적합"
"66","떡류","니가타현","2014-06-24","280","불검출","불검출","적합"
"67","떡류","니가타현","2014-06-24","280","불검출","불검출","적합"
"68","떡류","니가타현","2014-06-24","280","불검출","불검출","적합"
