"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"19","양조간장","아이치현","2014-04-07","648","불검출","불검출","적합"
"20","수산물가공품","교토부","2014-04-16","60","불검출","불검출","적합"
"21","소스류","오사카부","2014-04-07","108","불검출","불검출","적합"
"22","소스류","오사카부","2014-04-16","2,160","불검출","불검출","적합"
"23","농산물조림","야마가타현","2014-04-03","120","불검출","불검출","적합"
"24","국수","사이타마현","2014-04-16","960","불검출","불검출","적합"
"25","복합조미식품","도치기현","2014-02-12","320","불검출","불검출","적합"
"26","복합조미식품","도치기현","2014-02-01","320","불검출","불검출","적합"
"27","액상커피","효고현","2014-04-09","8,325","불검출","불검출","적합"
"28","액상커피","시가현","2014-03-13","16,500","불검출","불검출","적합"
"29","액상커피","효고현","2014-04-07","22,200","불검출","불검출","적합"
"30","볶은커피","효고현","2014-03-06","600","불검출","불검출","적합"
"31","볶은커피","아이치현","2014-04-22","2,000","불검출","불검출","적합"
"32","볶은커피","사이타마현","2014-03-03","900","불검출","불검출","적합"
"33","청주","오이타현","2014-04-05","432","불검출","불검출","적합"
"34","볶은커피","시즈오카현","2013-12-23","1,200","불검출","불검출","적합"
"35","볶은커피","시즈오카현","2014-01-09","1,200","불검출","불검출","적합"
"36","기타천연착향료","오사카부","2014-04-28","900","불검출","불검출","적합"
"37","조미건어포류","에히메현","2014-05-09","600","불검출","불검출","적합"
"38","소주","미야자키현","2014-04-24","86.4","불검출","불검출","적합"
"39","소주","미야자키현","2014-04-17","86.4","불검출","불검출","적합"
"40","혼합제제","오사카부","2014-04-25","210","불검출","불검출","적합"
"41","혼합제제","가나가와현","2014-04-30","3,000","불검출","불검출","적합"
"42","이산화티타늄","미에현","2012-06-05","150","불검출","불검출","적합"
"43","소스류","히로시마현","2014-04-25","4,014","불검출","불검출","적합"
"44","혼합제제","도쿄도","2014-04-10","60","불검출","불검출","적합"
"45","기타천연착향료","사이타마현","2014-04-14","90","불검출","불검출","적합"
"46","복합조미식품","사이타마현","2014-04-17","500","불검출","불검출","적합"
"47","복합조미식품","사이타마현","2014-04-17","200","불검출","불검출","적합"
"48","건어포류","가고시마현","2014-03-07","982","불검출","불검출","적합"
"49","건어포류","가고시마현","2014-03-07","500","불검출","불검출","적합"
"50","소스류","오이타현","2014-03-28","24.1","불검출","불검출","적합"
"51","혼합제제","오사카부","2014-04-08","15","불검출","불검출","적합"
"52","혼합제제","효고현","2014-04-15","300","불검출","불검출","적합"
"53","혼합제제","효고현","2014-04-23","10","불검출","불검출","적합"
"54","혼합제제","효고현","2014-04-23","50","불검출","불검출","적합"
"55","소스류","에히메현","2014-04-30","6,920","불검출","불검출","적합"
"56","소스류","후쿠오카현","2014-04-26","2,880","불검출","불검출","적합"
"57","냉면","효고현","2014-02-20","2,880","불검출","불검출","적합"
"58","드레싱","사가현","2014-04-21","598","불검출","불검출","적합"
"59","혼합제제","오사카부","2014-04-28","15","불검출","불검출","적합"
