"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","112건","","194,679","","",""
"1","양념젓갈","가나가와현","2014-03-17","1,440","불검출","불검출","적합"
"2","탄산음료","아키타현","2014-01-11","900","불검출","불검출","적합"
"3","과자(한과류)","도쿠시마현","2013-11-18","330","불검출","불검출","적합"
"4","과자(스낵과자)","아이치현","2014-02-19","205","불검출","불검출","적합"
"5","청주","와카야마현","2014-04-04","174.96","불검출","불검출","적합"
"6","청주","후쿠이현","2014-03-10","88.56","불검출","불검출","적합"
"7","혼합제제","오카야마현","2014-04-08","210","불검출","불검출","적합"
"8","혼합제제","오카야마현","2014-03-31","240","불검출","불검출","적합"
"9","맥주","후쿠오카현","2014-03-14","34,920","불검출","불검출","적합"
"10","맥주","후쿠오카현","2014-02-27","16,800","불검출","불검출","적합"
"11","캔디류(양갱)","아이치현","2014-04-07","25.44","불검출","불검출","적합"
"12","빵류(그외 빵류)","아이치현","2014-04-01","540","불검출","불검출","적합"
"13","빵류(그외 빵류)","아이치현","2014-04-02","540","불검출","불검출","적합"
"14","빵류(그외 빵류)","아이치현","2014-04-04","540","불검출","불검출","적합"
"15","빵류(그외 빵류)","아이치현","2014-04-03","540","불검출","불검출","적합"
"16","빵류(그외 빵류)","아이치현","2014-04-05","540","불검출","불검출","적합"
