"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","31건","-","-","95,491","-","-","-"
"1","활장어(먹장어)","나가사키현","2014-04-22","2,062","불검출","불검출","적합"
"2","활돔(벵에돔)","고치현","2014-04-22","2,088","불검출","불검출","적합"
"3","활돔(참돔)","고치현","2014-04-22","3,236","불검출","불검출","적합"
"4","활돔(참돔)","에히메현","2014-04-22","1,959","불검출","불검출","적합"
"5","활돔(참돔)","에히메현","2014-04-22","17,705","불검출","불검출","적합"
"6","활돔(참돔)","고치현","2014-04-22","6,493","불검출","불검출","적합"
"7","활돔(참돔)","에히메현","2014-04-22","10,618","불검출","불검출","적합"
"8","활가리비","홋카이도","2014-04-22","14,000","불검출","불검출","적합"
"9","냉장돔(황돔)","야마구치현","2014-04-22","207","불검출","불검출","적합"
"10","냉장가오리","야마구치현","2014-04-22","150","불검출","불검출","적합"
"11","냉장돔(황돔)","야마구치현","2014-04-22","545","불검출","불검출","적합"
"12","냉장갈치","와카야마현","2014-04-22","800","불검출","불검출","적합"
"13","냉장준치","와카야마현","2014-04-22","880","불검출","불검출","적합"
"14","냉장민어(수조기)","야마구치현","2014-04-22","111","불검출","불검출","적합"
"15","냉장명태","홋카이도","2014-04-22","3,818","불검출","불검출","적합"
"16","냉장갈치","와카야마현","2014-04-22","1,606","불검출","불검출","적합"
"17","냉장준치","와카야마현","2014-04-22","1,648","불검출","불검출","적합"
"18","냉장가오리","야마구치현","2014-04-22","684","불검출","불검출","적합"
"19","냉장홍어","홋카이도","2014-04-22","1,298","불검출","불검출","적합"
"20","냉장명태","홋카이도","2014-04-22","5,550","불검출","불검출","적합"
