"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","98건","","486,657","","",""
"1","소스류","미에현","2013-06-21","30.6","불검출","불검출","적합"
"2","즉석조리식품","미에현","2014-01-16","13.6","불검출","불검출","적합"
"3","청주","효고현","2014-02-05","432","불검출","불검출","적합"
"4","청주","효고현","2014-02-17","406.08","불검출","불검출","적합"
"5","청주","효고현","2014-02-03","396","불검출","불검출","적합"
"6","청주","효고현","2014-03-03","60","불검출","불검출","적합"
"7","청주","효고현","2014-02-13","300","불검출","불검출","적합"
"8","청주","효고현","2014-02-21","2,160","불검출","불검출","적합"
"9","청주","효고현","2014-02-07","1,080","불검출","불검출","적합"
"10","청주","효고현","2014-02-10","1,200","불검출","불검출","적합"
"11","청주","효고현","2014-02-24","180","불검출","불검출","적합"
"12","청주","효고현","2014-02-03","122.4","불검출","불검출","적합"
"13","청주","효고현","2014-01-20","36","불검출","불검출","적합"
"14","청주","시즈오카현","2014-03-03","423.36","불검출","불검출","적합"
"15","청주","지바현","2014-02-25","244.8","불검출","불검출","적합"
"16","곡류가공품","사이타마현","2014-03-04","360","불검출","불검출","적합"
