"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"67","카레","나가노현","2014-01-12","600","불검출","불검출","적합"
"68","카레","나가노현","2013-12-13","600","불검출","불검출","적합"
"69","기타천연착향료","나가노현","2014-03-11","150","불검출","불검출","적합"
"70","탄산음료","오사카부","2014-01-27","900","불검출","불검출","적합"
"71","기타가공품","훗카이도","2013-11-11","304","불검출","불검출","적합"
"72","혼합제제","효고현","2014-03-11","34","불검출","불검출","적합"
"73","식용유지가공품","오사카부","2014-03-06","180.1","불검출","불검출","적합"
"74","기타가공품","야마구치현","2013-11-01","20","불검출","불검출","적합"
"75","혼합제제","히로시마현","2014-03-10","200","불검출","불검출","적합"
"76","청주","니가타현","2014-02-18","280.8","불검출","불검출","적합"
"77","청주","니가타현","2014-02-12","86.4","불검출","불검출","적합"
"78","혼합제제","오사카부","2014-02-28","500","불검출","불검출","적합"
"79","혼합제제","오사카부","2014-03-11","800","불검출","불검출","적합"
"80","합성착향료","오사카부","2014-02-27","200","불검출","불검출","적합"
"81","혼합제제","이바라키현","2014-02-25","1,200","불검출","불검출","적합"
"82","혼합제제","가나가와현","2014-02-20","175","불검출","불검출","적합"
"83","혼합제제","사이타마현","2014-02-26","600","불검출","불검출","적합"
"84","당류가공품","오카야마현","2014-03-06","520","불검출","불검출","적합"
"85","혼합제제","오카야마현","2014-03-07","105","불검출","불검출","적합"
"86","혼합제제","도쿄도","2014-03-04","15","불검출","불검출","적합"
