age_certification	cinema_release_date	cinema_release_week	full_path	full_paths	id	is_nationwide_cinema_release_date	localized_release_date	max_season_number	object_type	original_language	original_release_year	original_title	poster	provider	runtime	short_description	title
	2018-07-18	2018_29	/kr/영화/inkeuredeobeul-2	{'MOVIE_DETAIL_OVERVIEW': '/kr/영화/inkeuredeobeul-2'}	399	True	2018-07-18		movie	en	2018	Incredibles 2	/poster/68411762/{profile}	nfx	118.0	세상은 바뀌었고, 우리는 여기에 적응해야 한다고 가족을 설득했던 일라스티걸(홀리 헌터)은 글로벌 통신회사의 재벌 윈스턴 데버(밥 오덴커크)와 에블린 데버(캐서린 키너) 남매의 제안을 받으면서 히어로 홍보 프로젝트의 모델이 된다. 일라스티걸이 위기에 빠진 사람들을 구해내며 히어로 이미지 개선에 힘쓰는 사이, 인크레더블(크레이그 T. 넬슨)은 어린 잭잭을 보살피며 육아가 일보다 힘들다는 것을 몸으로 학습한다. 또한 그는 첫째 딸 바이올렛(사라 보웰)의 첫사랑을 본의 아니게 망친 후 수습하려 하지만 상황은 오히려 악화된다.	인크레더블 2
			/kr/TV-프로그램/voltron-legendary-defender	{'SHOW_DETAIL_OVERVIEW': '/kr/TV-프로그램/voltron-legendary-defender'}	42137			8.0	show	en	2016	Voltron: Legendary Defender	/poster/65902170/{profile}	nfx		Five unlikely teenage heroes and their flying robot lions unite to form the megapowerful Voltron and defend the universe from evil.	Voltron: Legendary Defender
			/kr/TV-프로그램/gengan-asyura	{'SHOW_DETAIL_OVERVIEW': '/kr/TV-프로그램/gengan-asyura'}	106015			1.0	show	ja	2019	ケンガンアシュラ	/poster/141461872/{profile}	nfx		기업 간의 분쟁을 맨몸의 승부로 해결한다. 그 비밀스러운 세계로 들어간 도키타 오마. 하지만 그가 원하는 건 돈이 아니다. 단지 싸우고 싶을 뿐. 그는 승리를 갈망한다.	겐간 아슈라
7			/kr/TV-프로그램/peppa-pig	{'SHOW_DETAIL_OVERVIEW': '/kr/TV-프로그램/peppa-pig'}	22265			6.0	show	en	2004	Peppa Pig	/poster/11594230/{profile}	nfx		Peppa Pig is an energetic piggy who lives with Mummy, Daddy, and little brother George. She loves to jump in mud puddles and make loud snorting noises.	Peppa Pig
			/kr/TV-프로그램/teen-titans-go	{'SHOW_DETAIL_OVERVIEW': '/kr/TV-프로그램/teen-titans-go'}	35726			5.0	show	en	2013	Teen Titans Go!	/poster/10091861/{profile}	nfx		10대 히어로들의 평범하지만 평범하지 않은 일상을 그린 틴 타이탄의 외전격인 애니메이션	틴 타이탄 GO!
			/kr/TV-프로그램/kodeugieoseu-banyeogyi-reulreusyu	{'SHOW_DETAIL_OVERVIEW': '/kr/TV-프로그램/kodeugieoseu-banyeogyi-reulreusyu'}	12787			4.0	show	ja	2006	コードギアス 反逆のルルーシュ	/poster/84776886/{profile}	nfx		어느 미래, 브리타니아 제국의 침략을 받은 일본을 배경으로 한 애니메이션	코드기어스 반역의 를르슈
			/kr/영화/wreck-it-ralph	{'MOVIE_DETAIL_OVERVIEW': '/kr/영화/wreck-it-ralph'}	30584				movie	en	2012	Wreck-It Ralph	/poster/9045786/{profile}	nfx	108.0	모든 편견을 ‘부.숴.버.려!’ “직업이 ‘악당’일 뿐, 진짜 ‘나쁜 놈’은 아니야!”  8비트 게임 ‘다고쳐 펠릭스’에서 건물을 부수는 악당 주먹왕 랄프. 30년째 매일같이 건물을 부수며 직업에 충실해왔지만, 악당이라는 이유로 누구도 그를 좋아하지 않는다. 모두에게 인정 받는 영웅이 되고 싶은 마음에 급기야 자기 게임을 이탈하여 다른 게임으로 들어가는 랄프! 슈팅게임 ‘히어로즈 듀티’를 거쳐 레이싱 게임 ‘슈가 러시’에 불시착하는 랄프는 과연 게임 세계의 새로운 영웅이 될 수 있을 것인가! 그리고 랄프가 떠난 후 고장 딱지가 붙은 ‘다고쳐 펠릭스’ 게임은 오락실에서 퇴출될 위기를 넘길 수 있을까?	주먹왕 랄프
			/kr/TV-프로그램/spirit-riding-free	{'SHOW_DETAIL_OVERVIEW': '/kr/TV-프로그램/spirit-riding-free'}	57080			9.0	show	en	2017	Spirit: Riding Free	/poster/19866735/{profile}	nfx		In a small Western town, spunky ex-city girl Lucky forms a tight bond with wild horse Spirit while having adventures with best pals Pru and Abigail.	Spirit: Riding Free
			/kr/TV-프로그램/sakamotoibnidaman	{'SHOW_DETAIL_OVERVIEW': '/kr/TV-프로그램/sakamotoibnidaman'}	38711			1.0	show	ja	2016	坂本ですが？	/poster/9666682/{profile}	nfx		First year high school student Sakamoto isn't just cool, he's the coolest! Almost immediately after starting school, he began attracting everyone's attention. The girls love him, and most of the boys resent him. There's even a boy in the class who works as a model, but who is constantly upstaged by Sakamoto! No matter what tricks the other boys try to play on him, Sakamoto always manages to foil them with ease and grace. Though Sakamoto may seem cool and aloof, he helps others when asked, such as in the case of the boy in his class who was being constantly bullied. No matter what difficulties Sakamoto encounters, he moves through his high school life with confidence and class.	사카모토입니다만?
15			/kr/TV-프로그램/sodeu-ateu-onrain	{'SHOW_DETAIL_OVERVIEW': '/kr/TV-프로그램/sodeu-ateu-onrain'}	20429			3.0	show	ja	2012	ソードアート・オンライン	/poster/118296826/{profile}	nfx		"2022년. 인류는 마침내 완전한 가상 공간을 실현했다. 모든 게이머가 꿈꿔왔던 VRMMORPG (가상 대규모 온라인 롤 플레잉 게임)  ""소드 아트 온라인"" 이 정식 가동을 시작한다. 주인공은 소드 아트 온라인 플레이어인 키리토.  그는 SAO의 세계에서 플레이를 만끽하던 중 다른 1만 명의 플레이어와 함께 게임 마스터의 무자비한 선고를 듣는다. 100층까지 있다는 부유성 아인크라드의 정상을 정복해 게임을 클리어 하지 못하면 로그아웃을 할 수 없다고… 그리고 게임 오버는 현실 세계에서 ""죽음""을 의미한다고... 키리토는 재빨리 게임의 '진실'을 받아들이고 파티를 짜지 않는 솔로 플레이어로 끝이 보이지 않는 사투에 몸을 던진다."	소드 아트 온라인
